userID,itemID,itemNum,channelID,sessionID
149086740,-858636874,0.171628437,reward,1
149086740,-858636874,0.171628437,task,1
149086740,-858636874,0.171628437,reward,2
149086740,1355929638,2.574426556,reward,2
149086740,-725647966,1.71628437,reward,2
149086740,1355929638,3.432568741,reward,3
149086740,-1764603233,0.171628437,task,3
149086740,-725647966,3.089311867,reward,3
149086740,-725647966,3.089311867,decompose,3
149086740,-1454000739,2.059541245,buy,4
149086740,1355929638,3.432568741,reward,4
149086740,-1880378372,0.343256874,buy,4
149086740,-725647966,3.089311867,reward,4
